bar,direction,trigger,outcome
2024-07-25 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-25 12:15:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-25 12:15:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-26 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-29 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-29 12:10:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-29 12:10:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-30 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-30 09:40:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-30 09:40:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-30 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-30 15:00:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-30 15:00:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-31 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-31 09:25:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-31 09:25:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-31 09:30:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-31 09:35:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-31 09:40:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-07-31 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-01 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-01 11:45:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-01 11:45:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-02 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-02 10:50:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-02 10:50:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-02 14:35:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-02 14:35:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-05 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-05 09:55:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-05 09:55:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-05 10:40:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-05 10:40:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-05 13:30:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-05 13:30:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-06 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-06 10:30:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-06 10:30:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-07 09:15:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-07 09:15:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-07 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-08 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-08 09:55:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-08 09:55:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-08 12:10:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-08 12:10:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-08 13:00:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-08 13:00:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-09 09:15:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-09 09:15:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-09 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-12 09:15:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-12 09:15:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-12 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-12 10:35:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-12 10:35:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-12 14:50:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-12 14:50:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-13 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-14 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-16 09:15:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-16 09:15:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-16 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-16 09:50:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-16 09:50:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-16 11:25:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-16 11:25:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-19 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-19 11:05:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-19 11:05:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-20 09:15:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-20 09:15:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-20 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-21 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-22 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-23 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-23 09:35:00,BEARISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-23 09:35:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-23 09:40:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-23 09:45:00,BEARISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-23 10:45:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-23 10:45:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-26 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-27 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-27 14:50:00,BEARISH,Flip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-08-27 14:50:00,BEARISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-08-28 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-28 11:10:00,BULLISH,Flip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-28 11:10:00,BULLISH,PendingFlip,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-28 14:50:00,BEARISH,Flip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-08-28 14:50:00,BEARISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-08-29 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-08-29 09:45:00,BULLISH,Flip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-08-29 09:45:00,BULLISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-08-29 14:00:00,BEARISH,Flip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-08-29 14:00:00,BEARISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-08-29 14:50:00,BULLISH,Flip,ENTERED BULL_PUT expiry=2024-10-03 sell=25100 buy=24600 credit=164.84
2024-09-02 12:55:00,BEARISH,Reversal-ReEntry,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-02 13:00:00,BEARISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-03 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-09-04 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-09-04 13:15:00,BULLISH,Flip,ENTERED BULL_PUT expiry=2024-10-03 sell=25200 buy=24700 credit=161.15
2024-09-05 10:20:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=25200 buy=25700 credit=245.50
2024-09-06 12:20:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=24950 buy=24450 credit=179.70
2024-09-06 12:55:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=24850 buy=25350 credit=236.00
2024-09-09 09:45:00,BULLISH,Reversal-ReEntry,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-09 09:50:00,BULLISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-10 09:15:00,BULLISH,DailyReEntry,FAIL:no_price sell=MISS buy=MISS expiry=2024-10-03
2024-09-10 09:50:00,BEARISH,Flip,ENTERED BEAR_CALL expiry=2024-10-03 sell=24900 buy=25400 credit=236.60
2024-09-10 11:15:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=25000 buy=24500 credit=160.40
2024-09-10 15:00:00,BEARISH,Reversal-ReEntry,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-10 15:05:00,BEARISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-11 09:15:00,BEARISH,DailyReEntry,FAIL:no_price sell=MISS buy=OK expiry=2024-10-03
2024-09-11 10:15:00,BULLISH,Flip,ENTERED BULL_PUT expiry=2024-10-03 sell=25050 buy=24550 credit=150.40
2024-09-11 13:40:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=25000 buy=25500 credit=238.30
2024-09-12 09:15:00,BULLISH,Reversal-ReEntry,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-12 09:20:00,BULLISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-12 09:25:00,BULLISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-12 09:30:00,BULLISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-12 09:35:00,BULLISH,PendingFlip,ENTERED BULL_PUT expiry=2024-10-03 sell=25000 buy=24500 credit=141.05
2024-09-12 11:25:00,BEARISH,Reversal-ReEntry,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-12 11:30:00,BEARISH,PendingFlip,ENTERED BEAR_CALL expiry=2024-10-03 sell=25000 buy=25500 credit=215.40
2024-09-12 14:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=25150 buy=24650 credit=173.10
2024-09-16 12:10:00,BEARISH,Reversal-ReEntry,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-16 12:15:00,BEARISH,PendingFlip,FAIL:no_price sell=OK buy=MISS expiry=2024-10-03
2024-09-16 13:45:00,BULLISH,Flip,ENTERED BULL_PUT expiry=2024-10-03 sell=25400 buy=24900 credit=131.00
2024-09-18 13:00:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=25400 buy=25900 credit=222.25
2024-09-18 15:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=25400 buy=24900 credit=144.65
2024-09-19 10:10:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=25500 buy=26000 credit=213.34
2024-09-20 09:15:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=25500 buy=25000 credit=116.40
2024-09-20 13:30:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=25650 buy=26150 credit=214.95
2024-09-20 13:45:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=25700 buy=25200 credit=160.70
2024-09-25 10:05:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=25900 buy=26400 credit=187.36
2024-09-25 14:05:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=25950 buy=25450 credit=123.44
2024-09-27 12:50:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=26200 buy=26700 credit=148.00
2024-10-01 09:15:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=25900 buy=25400 credit=95.60
2024-10-01 10:15:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-03 sell=25800 buy=26300 credit=109.55
2024-10-01 12:15:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-03 sell=25850 buy=25350 credit=82.35
2024-10-03 09:15:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-10 sell=25550 buy=26050 credit=193.36
2024-10-03 09:45:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-10 sell=25600 buy=25100 credit=100.55
2024-10-03 10:10:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-10 sell=25550 buy=26050 credit=176.05
2024-10-04 09:50:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-10 sell=25250 buy=24750 credit=106.20
2024-10-04 12:35:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-10 sell=25300 buy=25800 credit=225.10
2024-10-07 14:45:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-10 sell=24900 buy=24400 credit=160.40
2024-10-09 13:15:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-10 sell=25100 buy=25600 credit=97.95
2024-10-10 10:05:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-17 sell=25100 buy=24600 credit=113.15
2024-10-10 11:35:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-17 sell=25000 buy=25500 credit=175.25
2024-10-14 09:15:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-17 sell=25050 buy=24550 credit=123.36
2024-10-15 09:45:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-17 sell=25100 buy=25600 credit=131.70
2024-10-16 14:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-17 sell=25000 buy=24500 credit=89.80
2024-10-16 15:10:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-17 sell=24950 buy=25450 credit=91.55
2024-10-17 11:10:00,BEARISH,Target-ReEntry,ENTERED BEAR_CALL expiry=2024-10-24 sell=24800 buy=25300 credit=160.70
2024-10-18 09:45:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-24 sell=24700 buy=24200 credit=130.65
2024-10-21 09:30:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-24 sell=24800 buy=25300 credit=163.55
2024-10-21 10:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-24 sell=24800 buy=24300 credit=144.65
2024-10-21 12:10:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-24 sell=24700 buy=25200 credit=127.90
2024-10-21 13:55:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-24 sell=24850 buy=24350 credit=125.35
2024-10-21 15:20:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-24 sell=24750 buy=25250 credit=107.20
2024-10-22 09:40:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-24 sell=24850 buy=24350 credit=117.04
2024-10-22 10:10:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-24 sell=24750 buy=25250 credit=138.90
2024-10-23 10:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-24 sell=24550 buy=24050 credit=122.89
2024-10-23 14:20:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-24 sell=24450 buy=24950 credit=85.50
2024-10-24 13:30:00,BEARISH,Target-ReEntry,ENTERED BEAR_CALL expiry=2024-10-31 sell=24400 buy=24900 credit=152.85
2024-10-25 15:10:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-31 sell=24150 buy=23650 credit=121.64
2024-10-28 09:40:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-31 sell=24150 buy=24650 credit=162.20
2024-10-28 09:55:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-31 sell=24300 buy=23800 credit=115.85
2024-10-28 14:00:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-31 sell=24350 buy=24850 credit=143.56
2024-10-29 12:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-10-31 sell=24300 buy=23800 credit=118.80
2024-10-30 09:15:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-10-31 sell=24350 buy=24850 credit=126.69
2024-10-31 11:20:00,BEARISH,Target-ReEntry,ENTERED BEAR_CALL expiry=2024-11-07 sell=24250 buy=24750 credit=191.50
2024-11-01 18:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-07 sell=24350 buy=23850 credit=177.94
2024-11-04 09:15:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-07 sell=24100 buy=24600 credit=217.10
2024-11-04 12:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-07 sell=23950 buy=23450 credit=173.15
2024-11-05 11:35:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-07 sell=23900 buy=24400 credit=176.06
2024-11-05 13:20:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-07 sell=23950 buy=23450 credit=159.15
2024-11-06 10:10:00,BULLISH,Target-ReEntry,ENTERED BULL_PUT expiry=2024-11-07 sell=24400 buy=23900 credit=101.60
2024-11-07 09:20:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-14 sell=24400 buy=24900 credit=188.95
2024-11-08 09:25:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-14 sell=24150 buy=23650 credit=134.70
2024-11-08 11:50:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-14 sell=24100 buy=24600 credit=157.20
2024-11-11 09:30:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-14 sell=24150 buy=23650 credit=138.66
2024-11-11 12:20:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-14 sell=24200 buy=24700 credit=139.80
2024-11-11 14:35:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-14 sell=24200 buy=23700 credit=114.00
2024-11-12 10:35:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-14 sell=24100 buy=24600 credit=129.45
2024-11-13 12:45:00,BEARISH,Target-ReEntry,ENTERED BEAR_CALL expiry=2024-11-14 sell=23700 buy=24200 credit=82.65
2024-11-14 10:00:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-21 sell=23650 buy=23150 credit=114.75
2024-11-14 11:05:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-21 sell=23500 buy=24000 credit=163.90
2024-11-18 12:10:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-21 sell=23500 buy=23000 credit=125.65
2024-11-18 14:30:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-21 sell=23400 buy=23900 credit=137.54
2024-11-19 09:15:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-21 sell=23600 buy=23100 credit=120.50
2024-11-19 14:50:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-21 sell=23650 buy=24150 credit=92.15
2024-11-21 09:35:00,BEARISH,Target-ReEntry,ENTERED BEAR_CALL expiry=2024-11-28 sell=23300 buy=23800 credit=181.10
2024-11-22 09:15:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-28 sell=23400 buy=22900 credit=123.65
2024-11-22 10:45:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-28 sell=23450 buy=23950 credit=203.85
2024-11-22 12:05:00,BULLISH,Reversal-ReEntry,ENTERED BULL_PUT expiry=2024-11-28 sell=23650 buy=23150 credit=139.50
2024-11-25 12:50:00,BEARISH,Reversal-ReEntry,ENTERED BEAR_CALL expiry=2024-11-28 sell=24200 buy=24700 credit=166.70
